sweet,sour,spicy,bitter,fruity,dense,herb,Cluster,cocktail_name
0,0,0,1,0,0,0,23,Talos Coffee
0,0,0,1,0,1,0,21,Tennesee Mud
1,1,1,0,0,1,0,22,Tequila Fizz
1,2,0,0,1,0,0,31,Tequila Sour
0,0,0,0,0,1,1,5,Thai Iced Tea
0,1,0,0,0,0,0,6,The Last Word
0,0,0,1,1,0,0,26,Turf Cocktail
0,1,1,1,0,0,1,18,The Laverstoke
1,0,0,0,0,0,0,15,Tequila Slammer
1,0,0,0,1,0,0,10,Tequila Sunrise
0,1,0,1,1,0,0,18,The Philosopher
0,0,0,1,1,0,0,26,Tuxedo Cocktail
0,0,1,0,0,0,0,25,Tequila Surprise
1,0,0,1,0,1,0,21,Thai Iced Coffee
0,0,0,0,1,0,0,9,The Jimmy Conway
0,1,0,0,1,0,0,11,Texas Rattlesnake
1,1,0,0,0,0,0,8,Tommy's Margarita
2,1,0,0,1,0,0,0,The Strange Weaver
0,0,0,0,0,0,0,1,The Evil Blue Thing
0,0,0,0,0,0,0,1,Vesper
1,0,0,0,0,0,0,15,Victor
1,1,0,0,1,0,0,0,Vampiro
2,1,0,0,0,1,0,20,Vesuvio
0,0,0,0,1,0,0,9,Veteran
1,1,0,0,0,0,0,8,Van Vleet
0,1,0,0,0,0,0,6,Vodka Fizz
0,2,0,0,0,0,0,6,Vodka Lemon
1,1,0,0,0,0,0,8,Vodka Slime
0,1,0,1,0,0,0,18,Vodka Tonic
0,0,0,0,0,0,0,1,Vodka Martini
0,0,0,0,0,0,0,1,Vodka Russian
0,0,0,0,0,0,0,1,Vermouth Cassis
1,1,0,0,2,0,0,4,Victory Collins
0,0,0,1,0,0,0,23,Vodka And Tonic
0,0,0,1,2,0,0,17,Valencia Cocktail
0,0,0,0,0,0,0,1,Whisky Mac
0,1,0,0,0,0,0,6,White Lady
0,1,0,0,3,0,0,2,Wine Punch
0,1,0,0,0,0,0,6,Wine Cooler
1,1,0,0,1,0,0,0,Winter Rita
1,2,0,0,1,0,0,31,Whiskey Sour
0,0,0,1,0,1,0,21,White Russian
1,1,1,0,1,0,0,0,Winter Paloma
0,2,0,0,3,0,0,4,White Wine Sangria
0,1,0,0,0,1,0,6,Whitecap Margarita
0,0,0,0,1,0,0,9,Waikiki Beachcomber
0,1,0,0,0,0,0,6,Yellow Bird
0,0,0,0,1,0,0,9,Yoghurt Cooler
0,0,0,0,0,1,1,5,Zorro
0,0,0,0,1,0,0,9,Zinger
2,2,0,0,0,0,0,27,Zoksel
1,1,0,1,0,0,0,16,Zombie
0,0,0,0,0,0,0,1,Zambeer
0,0,0,0,0,0,0,1,Zorbatini
0,0,0,0,0,0,0,1,Zenmeister
0,0,0,0,1,0,0,9,Zipperhead
0,0,0,0,1,0,0,9,Zima Blaster
0,2,0,0,0,0,0,6,Zizi Coin-coin
0,0,0,0,1,0,0,9,Zimadori Zinger
0,0,0,0,0,0,0,1,Zippy's Revenge
0,0,0,0,1,0,0,9,Ziemes Martini Apfelsaft
0,0,0,0,1,0,0,9,155 Belmont
0,0,0,0,0,0,0,1,110 in the shade
1,0,0,0,0,1,0,20,151 Florida Bushwacker
0,0,0,0,0,0,0,1,252
0,0,0,0,0,0,0,1,24k nightmare
0,0,0,0,0,0,0,1,3 Wise Men
1,2,0,1,0,0,0,16,3-Mile Long Island Iced Tea
1,0,0,0,1,0,0,10,410 Gone
1,0,0,0,1,0,0,10,50/50
1,1,0,0,1,0,0,0,501 Blue
0,0,0,0,0,0,0,1,57 Chevy with a White License Plate
1,1,0,0,0,0,0,8,69 Special
0,0,0,0,0,1,0,5,747
1,1,0,0,1,0,0,0,747 Drink
0,0,0,0,3,0,0,2,9 1/2 Weeks
