sweet,sour,spicy,bitter,fruity,dense,herb,Cluster,cocktail_name
1,2,0,0,1,1,0,31,Boston Sour
1,1,0,0,2,0,0,4,Bahama Mama
0,0,0,0,0,1,0,5,Brainteaser
0,2,1,0,0,0,0,28,Bloody Mary
0,0,0,0,0,0,0,1,Black & Tan
0,1,0,0,1,0,0,11,Blue Lagoon
0,1,0,0,1,0,0,11,Bee's Knees
1,0,0,0,0,2,0,29,Brandy Flip
1,2,0,0,1,0,0,31,Brandy Sour
1,0,0,0,0,1,0,20,Butter Baby
1,0,0,0,1,0,0,10,Boulevardier
1,1,0,0,2,0,0,4,Bourbon Sour
1,0,0,0,0,1,0,20,Bruce's Puce
1,0,0,0,0,0,0,15,Belgian Blue
0,3,0,0,2,0,0,13,Bloody Punch
0,0,0,0,1,0,0,9,Berry Deadly
0,2,1,0,0,0,0,28,Bloody Maria
0,0,0,0,0,2,0,29,Blind Russian
0,1,0,0,1,0,0,11,Blue Mountain
0,0,0,0,2,0,0,17,Bounty Hunter
0,2,2,0,0,0,0,28,Bombay Cassis
1,2,0,0,0,0,0,27,Bourbon Sling
0,0,0,0,3,0,0,2,Bruised Heart
0,0,0,1,0,0,0,23,Black Russian
0,0,0,0,0,1,0,5,Baby Guinness
1,1,0,0,2,0,0,4,Brandy Cobbler
0,1,0,0,0,0,0,6,Blue Hurricane
0,1,0,0,0,0,0,6,Boston Sidecar
0,1,0,0,0,0,0,6,Blue Margarita
0,0,0,0,1,0,0,9,Banana Cream Pi
1,1,0,0,1,0,0,0,Banana Daiquiri
0,1,0,0,2,0,0,4,Bellini Martini
0,0,0,0,0,0,0,1,Black and Brown
0,0,0,0,0,1,0,5,Brandy Alexander
2,1,0,0,0,0,0,8,Bacardi Cocktail
0,0,0,0,2,0,0,17,Bleeding Surgeon
1,2,0,0,1,0,0,31,Blueberry Mojito
0,1,0,0,0,0,0,6,Bermuda Highball
1,2,0,0,2,0,1,4,Butterfly Effect
1,0,0,0,1,1,0,24,Banana Milk Shake
0,0,1,0,0,0,0,25,Brave Bull Shooter
1,0,0,0,1,1,0,24,Black Forest Shake
0,1,0,0,0,0,0,6,Between The Sheets
1,0,0,0,0,2,0,29,Bailey's Dream Shake
1,1,0,0,0,0,0,8,Bobby Burns Cocktail
1,0,0,0,1,1,0,24,Banana Strawberry Shake
2,0,0,0,0,2,0,12,Boozy Snickers Milkshake
0,0,0,0,0,0,0,1,Banana Cantaloupe Smoothie
2,0,0,0,0,0,0,7,Brandon and Will's Coke Float
0,0,0,0,2,0,0,17,Banana Strawberry Shake Daiquiri
0,1,0,1,1,0,0,18,Casino
0,0,0,1,0,1,0,21,Cafe Savoy
1,1,0,0,0,0,0,8,Caipirinha
0,0,1,0,0,0,0,25,Cream Soda
1,1,0,0,0,0,0,8,Cuba Libra
0,0,0,0,1,1,0,24,Cherry Rum
1,1,0,0,0,0,0,8,Cuba Libre
0,1,0,1,0,0,0,18,Corn n Oil
1,0,0,0,0,0,0,15,Citrus Coke
0,1,0,0,0,0,0,6,Casa Blanca
1,1,0,0,0,1,0,8,Clover Club
1,1,0,0,0,0,0,8,Caipirissima
0,1,0,0,0,0,0,6,City Slicker
0,0,0,0,0,0,0,1,Campari Beer
1,1,0,0,0,1,0,8,Chicago Fizz
0,1,0,0,1,0,0,11,Cosmopolitan
2,0,0,1,0,0,0,7,Coffee-Vodka
0,1,0,1,0,1,0,18,Casino Royale
0,1,0,0,0,0,0,6,Corpse Reviver
1,0,0,0,0,1,0,20,Chocolate Milk
1,0,0,0,0,0,0,15,Clove Cocktail
2,0,0,1,0,0,0,7,Coffee Liqueur
1,1,0,0,0,0,0,8,Coke and Drops
1,0,0,0,0,1,0,20,Chocolate Drink
